bill_id,people_id,name,chamber,district,party,sponsor
1168341,500,Joseph Scarnati,Sen,SD-025,R,0
1168341,479,John Gordner,Sen,SD-027,R,0
1168341,262,David Argall,Sen,SD-029,R,0
1168341,17529,Judith Ward,Sen,SD-030,R,1
1168341,476,Michael Folmer,Sen,SD-048,R,1
1168341,277,Michele Brooks,Sen,SD-050,R,0
1168341,339,Scott Hutchinson,Sen,SD-021,R,0
1168341,21535,Dave Arnold,Sen,SD-048,R,0
1168341,16956,Camera Bartolotta,Sen,SD-046,R,0
1168341,469,Jacob Corman,Sen,SD-034,R,0
1168341,21371,Joe Pittman,Sen,SD-041,R,0
1168341,504,Robert Tomlinson,Sen,SD-006,R,0
1168341,466,Lisa Boscola,Sen,SD-018,D,0
1168341,16957,Arthur Haywood,Sen,SD-004,D,0
1168341,13010,Judy Schwank,Sen,SD-011,D,0
1168341,481,Vincent Hughes,Sen,SD-007,D,0
1168341,21357,Pam Iovino,Sen,SD-037,D,0
1168341,463,John Yudichak,Sen,SD-014,D,0
